Model,ROC-AUC,PR-AUC,F1 under rule,Threshold,Brier,Complexity
Baseline LightGBM,0.9713594002673372,0.7957639123479762,0.7388888888888888,0.43,0.013422711745807196,Low
Class-weighted LightGBM,0.9698425633778641,0.7877990726356919,0.7461928934010152,0.635,0.015240538609616262,Low
Optuna-tuned LightGBM,0.9695272992400519,0.8024211155178103,0.7519181585677749,0.34500000000000003,0.012985270889004107,Medium
Selected model + sigmoid calibration,0.9757413835099257,0.7836277061187048,,0.4138626344053961,0.013811034811398578,Medium
Simple average (bonus),0.9706676886549949,0.7788068354811252,0.7373493975903614,0.26,0.014451287923790388,High
OOF stack (bonus),0.9701467805243243,0.7851857120975272,0.7414634146341462,0.135,0.014512319316045297,High
FINAL — hold-out result,0.9713113506272074,0.8116510169696348,0.7642276422764228,0.4138626344053961,0.012512401543863197,Final selected pipeline
